c,Metric,bayesian,bayesian_fixed_K,spectral,leiden,louvain
20,adjusted_mutual_info_score,0.3705589533183119,0.33978745257545784,0.4018000867492745,0.4253203799666555,0.4069275119320054
20,adjusted_rand_score,0.38865948038020304,0.392057815479485,0.4016434348677585,0.4195363483456508,0.40757105977296976
20,v_measure_score,0.3794470860704626,0.3883530801231766,0.404941625611052,0.43222397438364446,0.41763963401452564
20,homogeneity_score,0.38922241906157573,0.38819602227714456,0.40399208272402864,0.4229029791065015,0.4303037553008803
20,fowlkes_mallows_score,0.5926667959461999,0.6622321065521972,0.5346253139557258,0.5195951751248015,0.49874320369118763
28,adjusted_mutual_info_score,0.3842309735674486,0.29519480443912033,0.4018000867492745,0.41987180104065097,0.40667100651155047
28,adjusted_rand_score,0.3906202963066533,0.3466353508973109,0.4016434348677585,0.42043701559205154,0.40265402668847755
28,v_measure_score,0.3807816511604534,0.37674159045231553,0.404941625611052,0.4278895472515639,0.41731725842042977
28,homogeneity_score,0.3900327943426802,0.38455152738973153,0.40399208272402864,0.4283159166914854,0.4157494207447489
28,fowlkes_mallows_score,0.6240882604326561,0.6595026475022243,0.5346253139557258,0.49022481278506025,0.49380198620334115
37,adjusted_mutual_info_score,0.3372952891490712,0.38342778253741244,0.4018000867492745,0.4099680726551673,0.40624724445985
37,adjusted_rand_score,0.3814224462111136,0.3717303574807374,0.4016434348677585,0.4101764798876578,0.39576913455799817
37,v_measure_score,0.36015401256208257,0.354963290062412,0.404941625611052,0.4264647736564651,0.40295344330048194
37,homogeneity_score,0.3886883131779907,0.38011234318177356,0.40399208272402864,0.4321605183644766,0.4379059048122539
37,fowlkes_mallows_score,0.5955539729581523,0.6534758556361994,0.5346253139557258,0.4960697482918272,0.48832835013635184
46,adjusted_mutual_info_score,0.3921171173190344,0.3841310892719765,0.4018000867492745,0.42249490472033935,0.4151666293689222
46,adjusted_rand_score,0.3339082366540462,0.3664254748124895,0.4016434348677585,0.41960015086289576,0.4106970919139904
46,v_measure_score,0.3456305598814334,0.34254302139874854,0.404941625611052,0.4118003733969105,0.4319458898432629
46,homogeneity_score,0.388760102155212,0.3839995778911972,0.40399208272402864,0.4277276264694643,0.42439174099492927
46,fowlkes_mallows_score,0.6109087022409632,0.6552297484318267,0.5346253139557258,0.492054675473326,0.5019893001444347
55,adjusted_mutual_info_score,0.33676244938222355,0.37946549244306105,0.4018000867492745,0.42223115258754806,0.3980593003211396
55,adjusted_rand_score,0.38866234602733235,0.34696300665941004,0.4016434348677585,0.42156132096418775,0.39682830106174044
55,v_measure_score,0.386859956733154,0.3734636261878153,0.404941625611052,0.42725505895195204,0.4182072921590261
55,homogeneity_score,0.3879869876930656,0.382221244154672,0.40399208272402864,0.4333040022331963,0.4220175012870321
55,fowlkes_mallows_score,0.6594898390532637,0.6228977533287818,0.5346253139557258,0.5068125424321522,0.4900513769840823
64,adjusted_mutual_info_score,0.3684898945436618,0.38748400871082433,0.4018000867492745,0.42183480664113987,0.41931577112367246
64,adjusted_rand_score,0.38765566927977463,0.3707265191489636,0.4016434348677585,0.40592061710712163,0.4101080440100633
64,v_measure_score,0.2771601079369866,0.38365056453839436,0.404941625611052,0.42351469099653627,0.4208133372091633
64,homogeneity_score,0.38395551377334997,0.3803851975491238,0.40399208272402864,0.4423116993045223,0.422147245268376
64,fowlkes_mallows_score,0.6567497687213366,0.587740039763035,0.5346253139557258,0.5022990636186512,0.5001426719285049
73,adjusted_mutual_info_score,0.32688400171085297,0.3627992008493855,0.4018000867492745,0.4213055853973584,0.4164919748688677
73,adjusted_rand_score,0.39011594450026993,0.36204579357476,0.4016434348677585,0.4125683322180155,0.40183440709543927
73,v_measure_score,0.38531238568652865,0.38042367741740357,0.404941625611052,0.4267430677850349,0.40822381064786545
73,homogeneity_score,0.3896801288887592,0.3886987062896998,0.40399208272402864,0.43319907593139223,0.42517534336300156
73,fowlkes_mallows_score,0.6587000231683139,0.6135818289859019,0.5346253139557258,0.5126034564882602,0.4940404768666856
82,adjusted_mutual_info_score,0.3906026931178147,0.33945904262372,0.4018000867492745,0.4160614326021167,0.4173794913095009
82,adjusted_rand_score,0.31462346098977906,0.34027840153327704,0.4016434348677585,0.4150243268519132,0.410653303300257
82,v_measure_score,0.3885321103291089,0.3749488415520295,0.404941625611052,0.42116393145984105,0.42911097858585245
82,homogeneity_score,0.38841616981817995,0.3897317741083074,0.40399208272402864,0.43128941359156225,0.4280817317787983
82,fowlkes_mallows_score,0.6610265068988144,0.6334234911810411,0.5346253139557258,0.49766490116830814,0.5001316030867257
91,adjusted_mutual_info_score,0.3849338260474641,0.3847606373580933,0.4018000867492745,0.4173568331245991,0.40858561384304853
91,adjusted_rand_score,0.3920821361552042,0.3896279572148885,0.4016434348677585,0.41384421999772397,0.41409957099428363
91,v_measure_score,0.3918976145486368,0.3899733675602128,0.404941625611052,0.42109089936660177,0.42891660178098545
91,homogeneity_score,0.38420477739090664,0.3778818231965645,0.40399208272402864,0.43236746715213964,0.4371699312756057
91,fowlkes_mallows_score,0.6602562648807864,0.6536668263819106,0.5346253139557258,0.4971657494746281,0.49441005738706634
100,adjusted_mutual_info_score,0.38088145204629875,0.3640326595347944,0.4018000867492745,0.42075222164102044,0.416220353908937
100,adjusted_rand_score,0.3468125062804629,0.389653762997941,0.4016434348677585,0.4266958297901402,0.4089205242351624
100,v_measure_score,0.3792930133501408,0.2996364079463462,0.404941625611052,0.43275829267604476,0.39052024810564906
100,homogeneity_score,0.389569433824679,0.3809680995540428,0.40399208272402864,0.4318227852438195,0.4237922725394648
100,fowlkes_mallows_score,0.6512810402191153,0.6551817294189795,0.5346253139557258,0.49824605874433947,0.49200842312418913
