d_max,Metric,bayesian,bayesian_fixed_K,spectral,leiden,louvain,walktrap
20,adjusted_mutual_info_score,0.8448878497494927,0.9885751807865175,0.9600573098016916,0.9682753908528074,0.8562479792133775,0.8137429229687629
20,adjusted_rand_score,0.966487854306347,0.8161389077102941,0.9680976616758704,0.9901856380304116,0.8812780029647623,0.8298622728113465
20,v_measure_score,0.9112840976249579,0.9602454852939767,0.9602570951987948,0.9055183788069969,0.9212589524299014,0.8146756618381131
20,homogeneity_score,0.9880741059835649,0.9902946274349601,0.9602266753231072,0.9896347929830892,0.8282882878100667,0.8143863454241945
20,fowlkes_mallows_score,0.9840064676191732,0.9614753563638683,0.9744557086253265,0.9901541980872723,0.9139864634548834,0.8639009041674062
28,adjusted_mutual_info_score,0.9753852038421978,0.945276391487887,0.9730417749916045,0.9914665727289951,0.8859777940920402,0.8335038636279937
28,adjusted_rand_score,0.7549334988740671,0.9465107081038469,0.980296161301608,0.9965150978128324,0.952704089265341,0.8508636122064676
28,v_measure_score,0.8724358015464558,0.9914016812203394,0.9731766053273226,0.9932717201304531,0.9901486026201128,0.8343379610793142
28,homogeneity_score,0.988860983151139,0.9885107478352884,0.9731528215910599,0.9887871505302422,0.9436792781038452,0.8340017352166077
28,fowlkes_mallows_score,0.9687952640587003,0.9924498014621168,0.9842221729397673,0.9984020664037081,0.9305145781956583,0.880751146346743
37,adjusted_mutual_info_score,0.9349121982863666,0.9387226201160441,0.9776581718814688,0.99536186406169,0.985057188785255,0.8363069933636661
37,adjusted_rand_score,0.9925534399204171,0.9638990055603106,0.9837768884614052,0.9965224960410705,0.9905849128887102,0.8538445435091371
37,v_measure_score,0.9185978428909681,0.9854795353054641,0.9777699060163748,0.9906625704347632,0.9647121620433678,0.8371268678401098
37,homogeneity_score,0.9759284721896021,0.9884423687422158,0.9777662027042471,0.9901448473147976,0.9878710337857143,0.8368289665421782
37,fowlkes_mallows_score,0.9821593379539738,0.8808740411430565,0.9870086782058234,0.9960196776054848,0.9920719536841978,0.8831012750316939
46,adjusted_mutual_info_score,0.9654695800871476,0.9113212870133655,0.9732122777773368,0.9897089522723524,0.9838880654800153,0.823363230337589
46,adjusted_rand_score,0.9300927058066877,0.8405555249797896,0.9807923607546452,0.996030879965075,0.9787940199226318,0.8383214144153047
46,v_measure_score,0.9056624152739096,0.913531452829355,0.973346260622623,0.9916463244944076,0.9549505174962796,0.8242494163464592
46,homogeneity_score,0.9903080660062503,0.9905440925156703,0.9733217235154916,0.9916335144463974,0.9904752603394703,0.8236593992767473
46,fowlkes_mallows_score,0.9744391458979156,0.9421791059574793,0.9846199925605281,0.9940182205226901,0.9757605241948456,0.8708918974800441
55,adjusted_mutual_info_score,0.9442573032683577,0.9958647356050794,0.9938849653247923,1.0,1.0,0.8623262085149348
55,adjusted_rand_score,0.9067964764212014,0.9457921644734848,0.9960153497251341,1.0,0.9940484966079474,0.8795042237948488
55,v_measure_score,0.898293121220682,0.8637044603602678,0.9939155470440474,1.0,0.9970418803828661,0.8630155729237142
55,homogeneity_score,0.9964283893902521,0.9590336373490296,0.9939140263381663,1.0,0.9986056862314936,0.8627435466032207
55,fowlkes_mallows_score,0.9910823404154827,0.9987990131128036,0.9968091033618437,1.0,1.0,0.9036065845537788
64,adjusted_mutual_info_score,0.9208016745111202,0.941381062267849,0.9805899951558938,0.9962416577668616,0.9821644625826634,0.8042389464445959
64,adjusted_rand_score,0.9425843498357486,0.8959027200429833,0.9866361615157174,0.9960079609912109,0.9945497345109509,0.8237199583547051
64,v_measure_score,0.9224074332209129,0.9327397057108945,0.9806870682560506,0.9880401706956125,0.9948695413465163,0.8052194520216702
64,homogeneity_score,0.9845959418025236,0.9966644490518316,0.9806798717223131,0.9970403414235476,0.9840922150993465,0.8048865878999024
64,fowlkes_mallows_score,0.9846577248255322,0.9793856730440649,0.9892984734664996,0.997601045273077,0.9833004969539527,0.8590211930626278
73,adjusted_mutual_info_score,0.9845736833618609,0.924254262669494,0.98835465925712,0.9992133925175075,0.9913232198269343,0.8494831694053426
73,adjusted_rand_score,0.728517098855513,0.9985052707181676,0.9920407958311147,0.9985015339413857,0.9925984829870454,0.86837743032253
73,v_measure_score,0.8915315444943024,0.889756281991896,0.9884128985988058,0.9962604263166416,0.9976525947294614,0.850236624962222
73,homogeneity_score,0.9978227031587587,0.9925424565141376,0.9884098960706451,0.9958777838970203,0.9968686890465845,0.8500353165304902
73,fowlkes_mallows_score,0.9604365220749471,0.9439767413953117,0.9936263068534533,0.9988000362701696,0.9984000201152291,0.8946758321953967
82,adjusted_mutual_info_score,0.9378605044924313,0.9546004041796806,0.9810930194017093,0.9964132221280193,0.9912185868823951,0.8214836540732104
82,adjusted_rand_score,0.9473305922095541,0.9970106430027359,0.9871246036347138,0.9985002619504545,0.9975012657217908,0.8233722489928695
82,v_measure_score,0.986689390807995,0.9505486117443593,0.9811875776228403,0.9986069202662392,0.9948672993292835,0.822553348321
82,homogeneity_score,0.993198908535845,0.9881787130247256,0.9811776858805968,0.9992170169272653,0.9942535779301732,0.8096857561845517
82,fowlkes_mallows_score,0.9178207548607451,0.9643763213493521,0.9896896820822547,0.999598996992485,0.99443635641342,0.8697560673126018
91,adjusted_mutual_info_score,0.988851218531066,0.9903921474150881,0.9841685700920723,0.998599918354965,0.9972010631290498,0.8607760684860513
91,adjusted_rand_score,0.9935393931581474,0.9437443318874609,0.9886436368629303,0.9945507631907369,0.9935594055677012,0.8820268079860764
91,v_measure_score,0.9082289763142379,0.9471442141587454,0.9842477485209171,0.9947733620986259,0.9889351943650944,0.8614724413099717
91,homogeneity_score,0.9854332782478472,0.9961542417490783,0.9842349346981922,0.9925558755093803,0.9929134153412089,0.8614107568401594
91,fowlkes_mallows_score,0.9672344970467858,0.9712439074641193,0.9909062473375062,0.9968201644585648,0.9932737408328398,0.9055384476195021
100,adjusted_mutual_info_score,0.9712456551407745,0.9369537823717954,0.9852359523147026,0.9992133925175075,0.9964144781718026,0.8599040108781285
100,adjusted_rand_score,0.943970968721783,0.9984990012826662,0.9896090452505616,0.9985027945900953,0.9945275584975315,0.8762245680541609
100,v_measure_score,0.9879154613821081,0.9589924028711098,0.9853097899090392,0.9978248588524117,0.9907607225525478,0.8606063493068301
100,homogeneity_score,0.9892539697762489,0.961365419429771,0.9853033584269628,0.997039720086024,0.9879132776123507,0.8601742876354056
100,fowlkes_mallows_score,0.9304941184519555,0.9944309573709942,0.9916790891522922,0.9988010473223286,0.9964435206169899,0.90108938343728
